adult,budget,genres,id,imdb_id,original_language,original_title,popularity,year,month,day,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count,is_comedy,is_action,is_horror,is_family,is_drama,is_thriller
FALSE,200,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",37724,tt1074638,en,Skyfall,20.309585,2012,10,25,1108.561013,143,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Skyfall,False,6.9,7718,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
FALSE,175,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",297761,tt1386697,en,Suicide Squad,42.965027,2016,8,2,745.600054,123,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Suicide Squad,False,5.9,7717,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,79,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",121,tt0167261,en,The Lord of the Rings: The Two Towers,29.423537,2002,12,18,926.2874,179,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Lord of the Rings: The Two Towers,False,8,7641,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,150,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",272,tt0372784,en,Batman Begins,28.505341,2005,6,10,374.218673,140,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ur', 'name': 'Ř§Ř±ŘŻŮ'}, {'iso_639_1': 'zh', 'name': 'ć™®é€ščŻť'}]",Released,Batman Begins,False,7.5,7511,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
FALSE,250,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",271110,tt3498820,en,Captain America: Civil War,145.882135,2016,4,27,1153.304495,147,"[{'iso_639_1': 'ro', 'name': 'RomĂ˘nÄ'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'ru', 'name': 'PŃŃŃĐşĐ¸Đą'}]",Released,Captain America: Civil War,False,7.1,7462,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,108,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",286217,tt3659388,en,The Martian,25.62993,2015,9,30,630.16189,141,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': 'ć™®é€ščŻť'}]",Released,The Martian,False,7.6,7442,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,140,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",22,tt0325980,en,Pirates of the Caribbean: The Curse of the Black Pearl,47.326665,2003,7,9,655.011224,143,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Pirates of the Caribbean: The Curse of the Black Pearl,False,7.5,7191,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,250,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",209112,tt2975590,en,Batman v Superman: Dawn of Justice,31.435879,2016,3,23,873.260194,151,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Batman v Superman: Dawn of Justice,False,5.7,7189,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,125,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",671,tt0241527,en,Harry Potter and the Philosopher's Stone,38.187238,2001,11,16,976.47555,152,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Harry Potter and the Philosopher's Stone,False,7.5,7188,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,140,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",1771,tt0458339,en,Captain America: The First Avenger,19.323582,2011,7,22,370.569774,124,"[{'iso_639_1': 'fr', 'name': 'FranĂ§ais'}, {'iso_639_1': 'no', 'name': 'Norsk'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,Captain America: The First Avenger,False,6.6,7174,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,175,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}]",14160,tt1049413,en,Up,19.330884,2009,5,13,735.099082,96,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Up,False,7.8,7048,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,200,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",10138,tt1228705,en,Iron Man 2,19.083344,2010,4,28,623.933331,124,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ru', 'name': 'PŃŃŃĐşĐ¸Đą'}, {'iso_639_1': 'fr', 'name': 'FranĂ§ais'}]",Released,Iron Man 2,False,6.6,6969,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,280,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",99861,tt2395427,en,Avengers: Age of Ultron,37.37942,2015,4,22,1405.403694,141,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Avengers: Age of Ultron,False,7.3,6908,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,11,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",11,tt0076759,en,Star Wars,42.149697,1977,5,25,775.398007,121,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Star Wars,False,8.1,6778,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,100,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",106646,tt0993846,en,The Wolf of Wall Street,16.382422,2013,12,25,392.000694,180,"[{'iso_639_1': 'fr', 'name': 'FranĂ§ais'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,The Wolf of Wall Street,False,7.9,6768,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,175,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",150540,tt2096673,en,Inside Out,23.985587,2015,6,9,857.611174,94,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Inside Out,False,7.9,6737,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
FALSE,215,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",1930,tt0948470,en,The Amazing Spider-Man,31.102267,2012,6,27,752.215857,136,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Amazing Spider-Man,False,6.5,6734,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,150,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",10195,tt0800369,en,Thor,29.158489,2011,4,21,449.326618,115,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Thor,False,6.6,6678,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,130,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",101299,tt1951264,en,The Hunger Games: Catching Fire,25.309139,2013,11,15,847.423452,146,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Hunger Games: Catching Fire,False,7.4,6656,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,70,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",16869,tt0361748,en,Inglourious Basterds,16.89564,2009,8,18,319.13105,153,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranĂ§ais'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,Inglourious Basterds,False,7.9,6598,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
FALSE,69,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",20352,tt1323594,en,Despicable Me,22.274502,2010,7,8,543.513985,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Despicable Me,False,7.1,6595,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,80,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",11324,tt1130884,en,Shutter Island,15.813629,2010,2,18,294.804195,138,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Shutter Island,False,7.8,6559,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
FALSE,135,"[{'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",281957,tt1663202,en,The Revenant,23.501228,2015,12,25,532.950503,156,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranĂ§ais'}]",Released,The Revenant,False,7.3,6558,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
FALSE,225,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",49521,tt0770828,en,Man of Steel,18.538834,2013,6,12,662.845518,143,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Man of Steel,False,6.5,6462,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,180,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",10681,tt0910970,en,WALLÂ·E,16.088366,2008,6,22,521.31186,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,WALLÂ·E,False,7.8,6439,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,35,"[{'id': 35, 'name': 'Comedy'}]",18785,tt1119646,en,The Hangover,23.947351,2009,6,5,459.270619,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Hangover,False,7.2,6324,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,97,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",263115,tt3315342,en,Logan,54.581997,2017,2,28,616.801808,137,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaĂ±ol'}]",Released,Logan,False,7.6,6310,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
FALSE,94,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",12,tt0266543,en,Finding Nemo,25.497794,2003,5,30,940.335536,100,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Finding Nemo,False,7.6,6292,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,165,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",177572,tt2245084,en,Big Hero 6,213.849907,2014,10,24,652.105443,102,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Big Hero 6,False,7.8,6289,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
FALSE,19,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}]",105,tt0088763,en,Back to the Future,25.778509,1985,7,3,381.109762,116,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Back to the Future,False,8,6239,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,250,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",127585,tt1877832,en,X-Men: Days of Future Past,26.058586,2014,5,15,747.862775,131,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,X-Men: Days of Future Past,False,7.5,6155,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,115,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",585,tt0198781,en,"Monsters, Inc.",26.419962,2001,11,1,562.816256,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Monsters, Inc.",False,7.5,6150,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,125,"[{'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}]",12445,tt1201607,en,Harry Potter and the Deathly Hallows: Part 2,24.990737,2011,7,7,1342,130,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Harry Potter and the Deathly Hallows: Part 2,False,7.9,6141,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,81,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",207703,tt2802144,en,Kingsman: The Secret Service,28.224212,2015,1,29,414.351546,130,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Kingsman: The Secret Service,False,7.6,6069,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,40,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",240832,tt2872732,en,Lucy,36.447603,2014,7,14,126.546825,89,"[{'iso_639_1': 'zh', 'name': 'ć™®é€ščŻť'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranĂ§ais'}, {'iso_639_1': 'es', 'name': 'EspaĂ±ol'}, {'iso_639_1': 'ko', 'name': 'í•śęµ­ě–´/ěˇ°ě„ ë§'}]",Released,Lucy,False,6.3,6048,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,130,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",673,tt0304141,en,Harry Potter and the Prisoner of Azkaban,28.460276,2004,5,31,789.804554,141,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Harry Potter and the Prisoner of Azkaban,False,7.7,6037,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,130,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",102899,tt0478970,en,Ant-Man,26.882388,2015,7,14,519.311965,117,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Ant-Man,False,7,6029,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,6,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",238,tt0068646,en,The Godfather,41.109264,1972,3,14,245.066411,175,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'la', 'name': 'Latin'}]",Released,The Godfather,False,8.5,6024,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,61,"[{'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",210577,tt2267998,en,Gone Girl,154.801009,2014,10,1,369.330363,145,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Gone Girl,False,7.9,6023,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
FALSE,18,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",1891,tt0080684,en,The Empire Strikes Back,19.470959,1980,5,17,538.4,124,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Empire Strikes Back,False,8.2,5998,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,100,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",672,tt0295297,en,Harry Potter and the Chamber of Secrets,29.741452,2002,11,13,876.688482,161,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Harry Potter and the Chamber of Secrets,False,7.4,5966,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
FALSE,33,"[{'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",807,tt0114369,en,Se7en,18.45743,1995,9,22,327.311859,127,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Se7en,False,8.1,5915,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
